Date,Close/Last,Volume,Open,High,Low
12/05/2025,685.69,79241050,685.47,688.39,684.58
12/04/2025,684.39,61970340,685.30,685.37,681.34
12/03/2025,683.89,57238480,680.57,684.91,679.69
12/02/2025,681.53,62953840,681.92,683.82,679.3275
12/01/2025,680.27,61201190,678.81,682.99,678.74
11/28/2025,683.39,49212030,680.86,683.665,680.50
11/26/2025,679.68,71879600,677.63,681.70,676.72
11/25/2025,675.02,81077090,668.63,676.21,664.48
11/24/2025,668.73,80437940,662.69,670.06,661.59
11/21/2025,659.03,123956200,655.05,664.55,650.85
11/20/2025,652.53,165293500,672.91,675.56,651.89
11/19/2025,662.63,94702960,660.78,667.34,658.745
11/18/2025,660.08,114467500,662.095,665.12,655.86
11/17/2025,665.67,90456110,669.70,673.71,662.17
11/14/2025,671.93,96846670,665.38,675.66,663.265
11/13/2025,672.04,103457800,680.50,680.86,670.52
11/12/2025,683.38,62312480,684.79,684.96,680.945
11/11/2025,683.00,58953390,679.95,683.57,678.73
11/10/2025,681.44,75842890,677.235,682.18,675.03
11/07/2025,670.97,100592400,667.91,671.08,661.205
11/06/2025,670.31,85035300,676.47,677.38,668.72
